,data,result
0,"[55, 31, 1]",[24]
1,"[57, 24, 1]",[33]
2,"[11, 25, 1]",[-14]
3,"[67, 48, 1]",[19]
4,"[34, 22, 1]",[12]
5,"[29, 0, 3]",[0]
6,"[88, 85, 0]",[173]
7,"[78, 3, 1]",[75]
8,"[82, 83, 2]",[6806]
9,"[0, 38, 1]",[-38]
10,"[12, 13, 0]",[25]
11,"[46, 30, 2]",[1380]
12,"[60, 1, 1]",[59]
13,"[19, 60, 0]",[79]
14,"[0, 0, 3]",[0]
15,"[24, 99, 2]",[2376]
16,"[78, 86, 0]",[164]
17,"[5, 44, 2]",[220]
18,"[13, 44, 0]",[57]
19,"[95, 80, 2]",[7600]
20,"[28, 74, 2]",[2072]
21,"[92, 45, 2]",[4140]
22,"[40, 100, 2]",[4000]
23,"[25, 19, 3]",[1.3157894736842106]
24,"[6, 90, 1]",[-84]
25,"[23, 91, 0]",[114]
26,"[69, 3, 2]",[207]
27,"[93, 55, 2]",[5115]
28,"[60, 44, 0]",[104]
29,"[81, 62, 1]",[19]
30,"[44, 46, 0]",[90]
31,"[25, 3, 2]",[75]
32,"[36, 76, 1]",[-40]
33,"[17, 19, 0]",[36]
34,"[87, 67, 3]",[1.2985074626865671]
35,"[67, 46, 3]",[1.4565217391304348]
36,"[76, 85, 2]",[6460]
37,"[40, 41, 1]",[-1]
38,"[3, 46, 3]",[0.06521739130434782]
39,"[28, 64, 2]",[1792]
40,"[17, 42, 1]",[-25]
41,"[26, 92, 0]",[118]
42,"[99, 92, 3]",[1.076086956521739]
43,"[14, 82, 3]",[0.17073170731707318]
44,"[77, 73, 0]",[150]
45,"[3, 64, 1]",[-61]
46,"[34, 65, 0]",[99]
47,"[54, 44, 2]",[2376]
48,"[25, 33, 2]",[825]
49,"[100, 70, 3]",[1.4285714285714286]
50,"[21, 97, 2]",[2037]
51,"[48, 83, 2]",[3984]
52,"[18, 92, 0]",[110]
53,"[40, 69, 0]",[109]
54,"[97, 32, 2]",[3104]
55,"[69, 27, 2]",[1863]
56,"[43, 69, 0]",[112]
57,"[20, 35, 0]",[55]
58,"[100, 41, 1]",[59]
59,"[5, 93, 2]",[465]
60,"[78, 2, 3]",[39.0]
61,"[35, 59, 2]",[2065]
62,"[17, 5, 2]",[85]
63,"[29, 38, 0]",[67]
64,"[39, 24, 2]",[936]
65,"[61, 91, 1]",[-30]
